Q,E1,E2,Answer,A,B,C,D
"A seven year old child with fever, diarrhea and skin rashes has come to your facility. In examination, there is no mouth ulcer but conjunctiva is somehow red and tears. Skin pinch test goes back slowly and eyes are somehow sunken. Respiratory rate is about 30 per minute and all other examinations are normal. According to IMCI protocol which is suitable action for this child?",d,55,d,Urgent referral,Action in our facility,Refer to home,None
"A two year old with respiratory problems has come to health care center, in which of the following conditions the child will have a different action according to IMCI protocol (all other conditions in each case assumed normal)?",,55,a,Respiratory rate 40 per minute,Rough inspiratory sound in auscultation,Lower chest wall in drawing,History of seizure prior our visit
A three year old child with diarrhea complaint has come to your facility. Eyes are very sunken. Which of the following findings will have a different decision for the child according to the IMCI protocol (all other conditions in each case assumed normal)?,,55,b,Very slow skin pinch test,Blood in stool,Not willing to drink water,Floppiness and decreased motion
Dehydration status in a 1 month child is about 5-10%. Presence of all following items will change decision for the child according to IMCI protocol except (all other conditions in each case assumed normal)?,,55,b,Diarrhea duration 14 days,Blood in stool,Repetitive vomiting,Nasal flaring
"In one area prevalence of malaria case in samples of under 5 year feverish children in summer is about 7%, this prevalence for autumn and winter is 1% and 3% lesser than summer, respectively. The rate for spring is the same as autumn. In which season in this zone diagnosis of a feverish 4 year old child with coriza and tears is different with others according to IMCI protocol?",,55,b,Is the same in all seasons,Winter,Autumn and spring,Summer
"In feeding problem assessment of a 5 month old child, in each 24 h, 9 times breast feeding, all night sleep without interruption, no complementary food and continuing breast feeding with recommendations during disease has been noted. Which of the following interventions is correct for this child according to IMCI protocol?",,55,b,Increasing number of breast feeding per 24h,Night breast feeding even child is asleep,Starting complementary food for child,Stopping breast feeding during illness
Which of the following characteristics is correct for palmar pallor in diagnosing anemia in an area without laboratory equipment in condition that observer is not anemic?,,55,b,Low sensitivity,Low specificity,High PPV,Low NPV
Which of the following items correctly describes elimination of a disease?,,55,d,Elimination of disease agent worldwide,Elimination of disease agent in an area,Elimination of disease worldwide,Elimination of disease in an area
"According to WHO 2008 report, all of the following countries are endemic for polio disease except:",,55,b,Afghanistan,Saudi Arabia,Pakistan,India
Which of the following vaccines has the least efficacy?,,55,b,Small pox,Influenza,OPV,Measles
Ro (Basic reproductive rate) for a specific disease is 5. In one community 90% of population received vaccine against the disease with 80% effectiveness. What is R (Reproductive rate) of the disease in this community?,,55,c,4,4.5,1.4,3.6
"After vaccination against influenza with a specific vaccine, from 1000 vaccinated people, 100 person and from 100000 unvaccinated people 80000 catch the disease, what is the effectiveness of this vaccine in that population?",,55,d,80%,90%,72%,87.5%
"Goal in one study is “determination of visual impairment prevalence in high school students in Tehran in 1394”, which of the following items has more role in representativeness of the results of this study?",,55,a,Method of sample selection,Definition of visual impairment,Repeating the study during the time,Monitoring data collection process
"For determining diabetes mellitus it`s determinants prevalence in whole country, which of the following methodologies shall be use?",,55,b,Cohort,Case control,Cross sectional,Stratified crass sectional
"In one study, effect of problem based learning on student`s learning has been assessed. Researchers asked from students about learning status after class and 70% reported good or very good learning. Overall satisfaction of the program was 80%. Which of the following items is the most important limitation in this study?",d,55,d,Absence of control group,Outcome definition,Measurement bias,All of the items
"In one study 200 patients randomly assigned to two groups of drug A and B, statistically significant different has been observed between effect of drugs, age, gender and education between groups. Which of the following items is the main limitation of the results of this study?",,55,b,Absence of no drug control group,Problems in randomization,Problems in blinding,Problems in measurement of the outcomes
"One group of patients with a specific vascular disease which has a surgical cure, patients assigned to receive drug A for 6 months and after 2 months of washout again patients received drug B for other 6 months. Which of the following items is the most important limitation in this study?",d,55,a,Ethical considerations in the study,Different period of interventions,Nonrandom assignment of first drug,No concurrent control group in the study
"For assessment of cancer risk factors in workers of a company after 25 years of it`s opening, all of the workers have had routine clinical and laboratory examinations periodically, which of the followings is the suitable methodology?",,55,c,Classic case control,Stratified cross sectional,Case cohort,Historical cohort
"In comparison of cause of deaths in neonates in 20 past years, death registry data of neonates in these years have been used. In one year prematurity has shown a large amount of frequency, which effect in this assessment shall be considered?",,55,c,Age cohort effect,Birth cohort effect,Confounding effect,Sampling bias effect
Which of the following items is correct about cardiovascular diseases burden and mortality in 2012 in IR Iran?,,55,c,More than 30% of burden is attributed to CVDs,Proportional burden of CVD in men is more than women,Burden in men is more than women about 350 thousand years,Proportional mortality of CVD in men is higher than women
Which of the following items is correct about Ischemic Heart Disease risk factors?,,55,a,Risk of any vascular disease in 90s is 16 times more than 40s,Cigarette smoking in men increases risk two times more than women,Hypertension in young age is associated with higher risk than in old,In patients with myocardial infarction quit smoking decrease mortality to half
"Which of the following items is correct about a 45 year old man, with waist circumference 95 cm, TG 165 mg/dl, BP 130/90 mmhg, HDL 35 mg/dl and FBS 105 mg/dl?",,55,b,He has metabolic syndrome according to the IDF criteria but not according to ATPIII,He has five and four criteria according to IDF and ATPII respectively,He has IFG without need to any other data or other laboratory assessments,He has no central obesity according to Iranian cut points
Which of the following items is correct about NCD risk factors epidemiology in IR Iran?,,55,a,The most frequent component in 2011 in above 25 year old is low HDL level,IFG frequency in 2011 in above 25 year old is higher in women than men,Mean BMI level in 2011in above 25 year old is above obesity cut point,In age 70+ frequency of ten year risk of CVD above 10% is about 65%
All of the following interventions is recommended for NCD burden decrease except:,,55,c,No alcohol use,No tobacco use,No salt diet,Low saturated fat diet
"If 50% rule in one community was based on 70%, which percentage of hypertensive patients in that community receive treatment?",,55,b,70%,49%,34.3%,24%
"An 8 year old child with 4 weeks fever has history of sore throat, one of knee joints is swelled, tender and warm. In which of the following items the child has rheumatoid heart disease?",d,55,d,Without any other sign or symptoms,With high ASO titer,With positive anti-hyaluronidase,None of the above
Which of the following items is correct about cancer screening and risk factors?,,55,c,Breast self-examination has a good sensitivity and is recommended,After HPV vaccination there is no need for PAP smear screening,Throat and mouth cancers can be screened by high risk examination,Main risk factors of cancers are dietary and food contaminations
Socio-economic status has a same effect on all non-communicable diseases listed below except:,,55,b,Cervical cancer,Breast cancer,Cardio-vascular disease,Obesity
"In one study prevalence of a disease in area A calculated two times more than area B, all of the following items can explain this difference except:",,55,b,Higher incidence in area A,Longer duration of disease in area B,More sensitive definition of disease in area A,Export of diseased patients from area B
"In one study the effects of two different drugs on leukemia have been assessed, gender of patients has no role in outcomes after treatment in this disease. All of the following items can explain the observed differences between two drugs except:",,55,d,Real difference between two drugs,Measurement bias,Nonrandom allocation of drugs,Gender confounding effect
"In NCD burden control in IR Iran, planning a comprehensive program for CVDs is essential, which of the following items is the most important reason?",,55,d,Highest proportional mortality of CVDs in IR Iran,Highest proportional burden of CVDs in IR Iran,Overlaps between CVDs risk factors and other NCD risk factors,Presence of cost effective interventions to decrease risk and mortality
"In the assessment of the effects of a screening program, which of the following items is the most important methodological limitation?",,55,b,Self-selection in participants for entering the program,Ethical consideration for having a group without screening program,Inability to determine biological initiation and using diagnosis time instead,Inability to determine course and improvement speed of disease
"In one study the effects of wet cupping assessed on control of a specific disease incidence. Diseased patients have been compared with healthy matched group by age, gender and other socio economic factors and number of wet cupping session in the last year has been compared between groups. Which of the following items is the most important limitation of this study?",,55,c,Inappropriate control group selection,Inability to incidence measurement,Incorrect methodology for the study,Inability to control of confounding effects
Which of the following is the definition of Index case?,,55,c,Person who brings the disease/infection into a population,Persons who are infected by primary case,First case discovered during an outbreak,Potential of disease to spread in a population
